asn=0    	id=7   	Node	Slotframe number 2 added from node: 7 [NODE]
asn=0    	id=7   	Node	Add cell in timeslot: 7 channel offset: 9 in slotframe: 2
asn=0    	id=7   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=7   	Node	Slotframe number 3 added from node: 7 [NODE]
asn=0    	id=7   	Node	Add cell in timeslot: 0 channel offset: 1 in slotframe: 3
asn=0    	id=7   	TSCH	Orchestra: initialization done
asn=0    	id=7   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=7   	Node	update time source called [NODE]
asn=0    	id=7   	Node	scanning on channel=20...[NODE]
asn=1    	id=2   	Node	add neighbor id=1 [NODE]
asn=1    	id=2   	TSCH	joined/associated at 0.01 on receiving an EB packet from 1[NODE]
asn=1    	id=2   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1    	id=2   	Node	update time source called [NODE]
asn=1    	id=2   	TSCH	Orchestra: new time source 1
asn=1    	id=2   	Node	Add cell in timeslot: 1 channel offset: 0 in slotframe: 3
asn=1    	id=2   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=1    	id=2   	Node	Add cell in timeslot: 1 channel offset: 4 in slotframe: 3
asn=1    	id=2   	RPL	DIS output to -1
asn=1    	id=3   	Node	add neighbor id=1 [NODE]
asn=1    	id=3   	TSCH	joined/associated at 0.01 on receiving an EB packet from 1[NODE]
asn=1    	id=3   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1    	id=3   	Node	update time source called [NODE]
asn=1    	id=3   	TSCH	Orchestra: new time source 1
asn=1    	id=3   	Node	Add cell in timeslot: 1 channel offset: 0 in slotframe: 3
asn=1    	id=3   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=1    	id=3   	Node	Add cell in timeslot: 1 channel offset: 5 in slotframe: 3
asn=1    	id=3   	RPL	DIS output to -1
asn=1    	id=4   	Node	add neighbor id=1 [NODE]
asn=1    	id=4   	TSCH	joined/associated at 0.01 on receiving an EB packet from 1[NODE]
asn=1    	id=4   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1    	id=4   	Node	update time source called [NODE]
asn=1    	id=4   	TSCH	Orchestra: new time source 1
asn=1    	id=4   	Node	Add cell in timeslot: 1 channel offset: 0 in slotframe: 3
asn=1    	id=4   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=1    	id=4   	Node	Add cell in timeslot: 1 channel offset: 6 in slotframe: 3
asn=1    	id=4   	RPL	DIS output to -1
asn=100  	id=6   	Node	scanning on channel=20...[NODE]
asn=100  	id=7   	Node	scanning on channel=25...[NODE]
asn=200  	id=5   	Node	scanning on channel=25...[NODE]
asn=200  	id=6   	Node	scanning on channel=25...[NODE]
asn=324  	id=1   	RPL	DIO output to -1
asn=341  	id=2   	RPL	DIO input from 1
asn=341  	id=2   	RPL	DIO output to 1
asn=341  	id=3   	RPL	DIO input from 1
asn=341  	id=3   	RPL	DIO output to 1
asn=341  	id=4   	RPL	DIO input from 1
asn=341  	id=4   	RPL	DIO output to 1
asn=358  	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=false[NODE]
asn=358  	id=3   	Node	tx done from=3 source=3 to=1 destination=1 numtx=1 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=false[NODE]
asn=358  	id=4   	Node	tx done from=4 source=4 to=1 destination=1 numtx=1 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=false[NODE]
asn=402  	id=7   	Node	scanning on channel=20...[NODE]
asn=409  	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=2 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=false[NODE]
asn=409  	id=3   	Node	tx done from=3 source=3 to=1 destination=1 numtx=2 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=false[NODE]
asn=409  	id=4   	Node	tx done from=4 source=4 to=1 destination=1 numtx=2 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=false[NODE]
asn=443  	id=1   	Node	add neighbor id=4 [NODE]
asn=443  	id=1   	RPL	DIO input from 4
asn=443  	id=4   	Node	tx done from=4 source=4 to=1 destination=1 numtx=3 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=true, remove packet[NODE]
asn=443  	id=4   	RPL	DIO output to 1
asn=460  	id=1   	RPL	DIO input from 4
asn=460  	id=4   	Node	tx done from=4 source=4 to=1 destination=1 numtx=1 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=true, remove packet[NODE]
asn=460  	id=4   	RPL	parent switch: null -> 1
asn=460  	id=4   	RPL	Add default route method called with 1[ROUTE]
asn=460  	id=4   	RPL	add the default route via 1[ROUTE]
